player_name,team_id,home_team_id,team_name,matchday,match_name,match_date,home_team_score,away_team_score,start_frame,end_frame,start_x,start_y,end_x,end_y,outcome,long_ball,is_a_cross,free_kick,corner_kick,throw_in,aerial,switch_of_play,assist,second_assist
Kirian Rodriguez,537,445,UD Las Palmas,Matchday 16,ALA - LPA,2023-12-09T00:00:00,0,1,64250,64250,49.4,27.0,63.9,33.7,1,0,0,0,0,0,0,0,0,0
Kirian Rodriguez,537,445,UD Las Palmas,Matchday 16,ALA - LPA,2023-12-09T00:00:00,0,1,90475,90475,43.7,63.6,36.4,64.9,1,0,0,0,0,0,0,0,0,0
Kirian Rodriguez,537,445,UD Las Palmas,Matchday 16,ALA - LPA,2023-12-09T00:00:00,0,1,33500,33500,63.3,16.1,45.5,5.3,1,0,0,0,0,0,0,0,0,0
Kirian Rodriguez,537,445,UD Las Palmas,Matchday 16,ALA - LPA,2023-12-09T00:00:00,0,1,75500,75500,40.6,88.6,39.6,91.5,1,0,0,0,0,0,0,0,0,0
Aleix Garcia,384,467,Girona FC,Matchday 20,ALM - GIR,2024-01-14T00:00:00,0,0,36200,36200,42.9,67.9,32.3,52.5,1,0,0,0,0,0,0,0,0,0
Aleix Garcia,384,467,Girona FC,Matchday 20,ALM - GIR,2024-01-14T00:00:00,0,0,38750,38750,35.2,70.9,21.6,30.6,1,0,0,1,0,0,0,0,0,0
Aleix Garcia,384,467,Girona FC,Matchday 20,ALM - GIR,2024-01-14T00:00:00,0,0,72775,72775,87.0,92.3,91.4,61.8,0,0,1,1,0,0,1,0,0,0
Aleix Garcia,384,467,Girona FC,Matchday 20,ALM - GIR,2024-01-14T00:00:00,0,0,68050,68050,47.8,46.0,34.3,55.5,1,0,0,0,0,0,0,0,0,0
Aleix Garcia,384,467,Girona FC,Matchday 20,ALM - GIR,2024-01-14T00:00:00,0,0,82525,82525,39.5,9.2,38.7,18.7,1,0,0,0,0,0,0,0,0,0
Aleix Garcia,384,467,Girona FC,Matchday 20,ALM - GIR,2024-01-14T00:00:00,0,0,84450,84450,63.4,47.8,65.9,33.7,1,0,0,0,0,0,0,0,0,0
Aleix Garcia,384,467,Girona FC,Matchday 20,ALM - GIR,2024-01-14T00:00:00,0,0,22425,22425,53.1,14.1,64.6,2.6,1,0,0,0,0,0,0,0,0,0
Aleix Garcia,384,467,Girona FC,Matchday 20,ALM - GIR,2024-01-14T00:00:00,0,0,26850,26850,99.5,99.5,100.0,25.0,0,1,1,0,1,0,1,0,0,0
Aleix Garcia,384,467,Girona FC,Matchday 20,ALM - GIR,2024-01-14T00:00:00,0,0,71050,71050,99.5,99.5,93.1,34.6,0,1,1,0,1,0,1,0,0,0
Aleix Garcia,384,467,Girona FC,Matchday 20,ALM - GIR,2024-01-14T00:00:00,0,0,25825,25825,57.9,63.9,79.7,92.0,1,0,0,0,0,0,1,0,0,0
Aleix Garcia,384,467,Girona FC,Matchday 20,ALM - GIR,2024-01-14T00:00:00,0,0,107475,107475,28.7,16.2,49.5,24.1,1,0,0,0,0,0,0,0,0,0
Aleix Garcia,384,467,Girona FC,Matchday 20,ALM - GIR,2024-01-14T00:00:00,0,0,71575,71575,67.4,67.5,56.7,70.9,1,0,0,0,0,0,0,0,0,0
Aleix Garcia,384,467,Girona FC,Matchday 20,ALM - GIR,2024-01-14T00:00:00,0,0,47725,47725,55.0,60.6,56.9,45.7,1,0,0,0,0,0,0,0,0,0
Aleix Garcia,384,467,Girona FC,Matchday 20,ALM - GIR,2024-01-14T00:00:00,0,0,91450,91450,23.1,59.1,29.7,58.8,1,0,0,0,0,0,0,0,0,0
Aleix Garcia,384,467,Girona FC,Matchday 20,ALM - GIR,2024-01-14T00:00:00,0,0,79075,79075,11.5,70.4,27.6,91.6,1,0,0,0,0,0,0,0,0,0
Aleix Garcia,384,467,Girona FC,Matchday 20,ALM - GIR,2024-01-14T00:00:00,0,0,5400,5400,29.3,60.0,33.8,93.0,1,0,0,0,0,0,0,0,0,0
Aleix Garcia,384,467,Girona FC,Matchday 20,ALM - GIR,2024-01-14T00:00:00,0,0,53550,53550,54.7,88.0,47.9,61.2,1,0,0,0,0,0,0,0,0,0
Aleix Garcia,384,467,Girona FC,Matchday 20,ALM - GIR,2024-01-14T00:00:00,0,0,43650,43650,55.2,57.3,65.3,26.5,1,0,0,0,0,0,0,0,0,0
Aleix Garcia,384,467,Girona FC,Matchday 20,ALM - GIR,2024-01-14T00:00:00,0,0,53400,53400,44.4,81.6,47.4,95.1,1,0,0,0,0,0,0,0,0,0
Aleix Garcia,384,467,Girona FC,Matchday 20,ALM - GIR,2024-01-14T00:00:00,0,0,28000,28000,26.9,83.6,26.5,93.6,1,0,0,0,0,0,0,0,0,0
Aleix Garcia,384,467,Girona FC,Matchday 20,ALM - GIR,2024-01-14T00:00:00,0,0,28025,28025,25.6,87.9,15.7,92.0,1,0,0,0,0,0,0,0,0,0
Aleix Garcia,384,467,Girona FC,Matchday 20,ALM - GIR,2024-01-14T00:00:00,0,0,40825,40825,28.8,64.3,16.4,90.3,1,0,0,0,0,0,0,0,0,0
Aleix Garcia,384,467,Girona FC,Matchday 20,ALM - GIR,2024-01-14T00:00:00,0,0,77000,77000,30.7,21.7,33.8,35.4,1,0,0,0,0,0,0,0,0,0
Aleix Garcia,384,467,Girona FC,Matchday 20,ALM - GIR,2024-01-14T00:00:00,0,0,102975,102975,37.1,66.2,41.3,89.9,1,0,0,0,0,0,0,0,0,0
Aleix Garcia,384,467,Girona FC,Matchday 20,ALM - GIR,2024-01-14T00:00:00,0,0,72125,72125,48.2,82.0,59.5,79.7,1,0,0,0,0,0,0,0,0,0
Aleix Garcia,384,467,Girona FC,Matchday 20,ALM - GIR,2024-01-14T00:00:00,0,0,46500,46500,32.4,69.4,29.4,54.6,1,0,0,0,0,0,0,0,0,0
Aleix Garcia,384,467,Girona FC,Matchday 20,ALM - GIR,2024-01-14T00:00:00,0,0,82875,82875,26.4,15.9,43.2,26.3,1,0,0,0,0,0,0,0,0,0
Aleix Garcia,384,467,Girona FC,Matchday 20,ALM - GIR,2024-01-14T00:00:00,0,0,32200,32200,40.1,81.8,28.3,93.5,1,0,0,0,0,0,0,0,0,0
Aleix Garcia,384,467,Girona FC,Matchday 20,ALM - GIR,2024-01-14T00:00:00,0,0,45375,45375,57.6,45.2,69.7,11.0,1,0,0,0,0,0,0,0,0,0
Aleix Garcia,384,467,Girona FC,Matchday 20,ALM - GIR,2024-01-14T00:00:00,0,0,68200,68200,46.1,71.8,37.2,56.0,1,0,0,0,0,0,0,0,0,0
Aleix Garcia,384,467,Girona FC,Matchday 20,ALM - GIR,2024-01-14T00:00:00,0,0,22200,22200,58.0,6.7,45.6,23.4,1,0,0,0,0,0,0,0,0,0
Aleix Garcia,384,467,Girona FC,Matchday 20,ALM - GIR,2024-01-14T00:00:00,0,0,56200,56200,62.7,20.6,54.5,51.0,1,0,0,0,0,0,0,0,0,0
Aleix Garcia,384,467,Girona FC,Matchday 20,ALM - GIR,2024-01-14T00:00:00,0,0,110475,110475,62.8,62.7,65.5,68.9,1,0,0,0,0,0,0,0,0,0
Aleix Garcia,384,467,Girona FC,Matchday 20,ALM - GIR,2024-01-14T00:00:00,0,0,109825,109825,26.2,52.4,28.6,51.4,0,0,0,0,0,0,0,0,0,0
Aleix Garcia,384,467,Girona FC,Matchday 20,ALM - GIR,2024-01-14T00:00:00,0,0,32150,32150,32.2,84.1,38.5,94.7,1,0,0,0,0,0,0,0,0,0
Aleix Garcia,384,467,Girona FC,Matchday 20,ALM - GIR,2024-01-14T00:00:00,0,0,88000,88000,45.5,31.6,45.7,67.1,1,0,0,1,0,0,0,0,0,0
